服务器节点图可用
action.backpack.modifyItem,修改背包道具数量
action.minimap.setVisibleMarkerPlayers,修改可见小地图标识的玩家列表
action.minimap.setScale,修改小地图缩放
action.minimap.setMarkerEnabledState,修改小地图标识生效状态
action.minimap.setMarkerPlayerTag,修改小地图标识的玩家标记
action.minimap.setTrackingMarkerPlayers,修改追踪小地图标识的玩家列表
action.patrol.switchTemplate,切换造物巡逻模板
action.leaderboard.setScoreInt,以整数设置玩家排行榜分数
action.leaderboard.setScoreFloat,以浮点数设置玩家排行榜分数
action.achievement.setProgressCount,设置成就进度计数
action.achievement.changeProgressCount,变更成就进度计数
action.scan.setActiveScanTagIndex,设置扫描组件的生效扫描标签序号
action.scan.setTagRule,设置扫描标签的规则
action.rank.setPlayerEscapeValidity,设置玩家逃跑合法性
action.rank.setPlayerRankDeltaScore,设置玩家段位变化分数
action.rank.switchActiveScoreGroup,切换玩家竞技段位生效的计分组
action.placement.toggleGroup,激活/关闭实体布设组
action.chat.setChannelEnabled,设置聊天频道开关
action.chat.setPlayerCurrentChannel,设置玩家当前频道
action.chat.modifyPlayerChannelPermission,修改玩家频道权限
action.giftBox.consume,消耗礼盒
event.graphVariableChanged,节点图变量变化时
event.customVariableChanged,自定义变量变化时
event.presetStateChanged,预设状态变化时
event.characterMoveSpeedReached,角色移动速度达到条件时
event.entityCreated,实体创建时
event.entityDestroyed,实体销毁时
event.entityRemovedOrDestroyed,实体移除/销毁时
event.entityCampChanged,实体阵营变化时
event.playerTeleportFinished,玩家传送完成时
event.playerAbnormalDownAndRevived,玩家异常倒下并复苏时
event.playerAllCharactersRevived,玩家所有角色复苏时
event.playerAllCharactersDown,玩家所有角色倒下时
event.characterRevived,角色复苏时
event.characterDown,角色倒下时
event.leaveCollisionTrigger,离开碰撞触发器时
event.enterCollisionTrigger,进入碰撞触发器时
event.healIssued,发起恢复生命值时
event.enterInterruptible,进入易受打断状态时
event.attackHit,攻击命中时
event.attacked,受到攻击时
event.healed,被恢复生命值时
event.pathReachedWaypoint,路径到达路点时
event.basicMoverStopped,基础运动器停止时
event.hitCheckTriggered,命中检测触发时
event.timerTriggered,定时器触发时
event.globalTimerTriggered,全局计时器触发时
event.uiControlGroupTriggered,界面控件组触发时
event.elementReaction,发生元素反应事件时
event.shieldAttacked,护盾受到攻击时
event.unitStateEnded,单位状态结束时
event.unitStateChanged,单位状态变更时
